;Nombre;Partido;Cámara
1;Mirtha Vasquez Chuquilin;Ahora Nación;Senado
2;Jaime Delgado Zegarra;Ahora Nación;Senado
3;Ruth Luque Ibarra;Ahora Nación ;Senado
4;Indira Huilca Flores;Ahora Nación ;Diputados
5;Gilbert Felix Violeta Lopez;Alianza Fuerza y Libertad;Diputados
6;Crisologo Cáceres;Alianza Fuerza y Libertad;Senado
7;David Felipe Novoa Guibovich;Alianza Fuerza y Libertad ;Senado
8;Javier Bedoya Denegri;Alianza Unidad Nacional;Senado
9;Sigrid Bazán;Alianza Venceremos;Diputados
10;Olivarez Gonza Rivera;Alianza Venceremos;Diputados
11;Marisol Espinoza Cruz;APP;Senado
12;Lady Camones Soriano;APP;Senado
13;Juan José Santivañez;APP;Senado
14;Carla García;APRA;Senado
15;Jorge del Castillo;APRA;Senado
16;Fernan Romano Altuve - Febres Lores;Avanza País;Senado
17;Adriana Tuleda Gutiérrez;Avanza País;Diputados
18;María Cecilia Bakula Budge;Avanza País;Senado
19;Augusto Peñaloza;Avanza País;Senado
20;Diana Gonzáles;Avanza País;Diputados
21;Carlos Zeballos Madariaga;Cooperación Popular ;Senado
22;Miguel Angel Torres Morales ;Fuerza Popular;Senado
23;Cecilia Chacon de Vettori;Fuerza Popular;Diputados
24;Patricia Juárez;Fuerza Popular;Senado
25;Silvana Robles Araujo;Juntos por el Perú;Senado
26;Anahi Durand;Juntos por el Perú;Senado
27;Margot Palacios Huaman;Juntos por el Perú;Senado
28;Zaira Arias;Juntos por el Perú;Diputados
29;Pedro Cateriano;Libertad Popular;Senado
30;Gino Costa;Libertad Popular;Senado
31;Julia Principe Trujillo;País para Todos;Senado
32;Edward Málaga Trillo;País para Todos;Senado
33;Juan Sheput Moore;País para Todos;Senado
34;Flavio Cruz Mamani;Perú Libre;Senado
35;Kelly Portalatino;Perú Libre;Senado
36;Américo Gonza;Perú Libre;Senado
37;Jorge Chavez Cresta;Perú Primero;Senado
38;Alejandro Salas;Perú Primero;Senado
39;Cecilia Garcia Rodriguez;Podemos;Senado
40;Raúl Nobecilla Olaeche;Podemos;Senado
41;Jean Paul Benavente;Primero La Gente;Senado
42;Norma Yarrow Lumbreras;Renovación Popular;Senado
43;Alejandro Muñante Barrios;Renovación Popular;Diputados
44;Absalón Vásquez Villanueva;Renovación Popular;Senado
45;Katherine Ampuero;Renovación Popular;Senado
46;Javier Bernal Salas;Renovación Popular;Diputados
47;Alex Paredes Gonzales ;Somos Perú;Senado
48;Winston Huamán Henriquez;PTE;Senado
49;Daniel Mora;Partido Morado;Senado
50;Jorge Montoya;Sí Creo;Senado
